"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz KIA",KNDNE5K33T6553237,2026,Kia,"Carnival MPV","SX Prestige","At Dealership",K26M004,2025-07-01,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-sx-prestige-fwd-minivan-kndne5k33t6553237/
"Lou Fusz KIA",KNAG44J86T5421773,2026,Kia,K5,GT,"At Dealership",K26L026,2025-09-29,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-fwd-4-door-sedan-knag44j86t5421773/
"Lou Fusz KIA",5XYK53DF1TG367787,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F041,2025-09-02,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-fwd-4dr-sport-utility-5xyk53df1tg367787/
"Lou Fusz KIA",5XYRKDJF2TG416464,2026,Kia,Sorento,"X-Line SX AWD","At Dealership",K267013,2025-09-10,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-x-line-sx-awd-awd-4dr-sport-utility-5xyrkdjf2tg416464/
"Lou Fusz KIA",KNDNE5KA2T6118451,2026,Kia,"Carnival MPV Hybrid","SX Prestige","At Dealership",K26Q039,2025-10-10,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-sx-prestige-fwd-minivan-kndne5ka2t6118451/
"Lou Fusz KIA",KNDERCAA6T7886907,2026,Kia,Seltos,EX,"At Dealership",K26K040,2025-10-22,https://www.kia.fusz.com/inventory/new-2026-kia-seltos-ex-awd-4dr-utility-vehicle-kndercaa6t7886907/
"Lou Fusz KIA",5XYRKDJFXTG425185,2026,Kia,Sorento,"X-Line SX Prestige AWD","At Dealership",K267027,2025-10-13,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-x-line-sx-prestige-awd-awd-4dr-sport-utility-5xyrkdjfxtg425185/
"Lou Fusz KIA",KNAG64J74T5435415,2026,Kia,K5,"GT-Line AWD","At Dealership",K26L036,2025-10-22,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-line-awd-awd-4-door-sedan-knag64j74t5435415/
"Lou Fusz KIA",5XYRH4JF1TG421248,2026,Kia,Sorento,EX,"At Dealership",K267031,2025-10-27,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-ex-fwd-4dr-sport-utility-5xyrh4jf1tg421248/
"Lou Fusz KIA",KNAG64J7XT5438111,2026,Kia,K5,"GT-Line AWD","At Dealership",K26L042,2025-11-13,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-line-awd-awd-4-door-sedan-knag64j7xt5438111/
"Lou Fusz KIA",KNDNB5KA7T6133536,2026,Kia,"Carnival MPV Hybrid",LXS,"At Dealership",K26Q046,2025-12-08,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-lxs-fwd-minivan-kndnb5ka7t6133536/
"Lou Fusz KIA",KNDNE5KA0T6131585,2026,Kia,"Carnival MPV Hybrid","SX Prestige","At Dealership",K26Q048,2025-12-16,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-sx-prestige-fwd-minivan-kndne5ka0t6131585/
"Lou Fusz KIA",5XYK6CDF7TG396451,2026,Kia,Sportage,X-Line,"At Dealership",K26F081,2025-12-01,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-x-line-awd-4dr-sport-utility-5xyk6cdf7tg396451/
"Lou Fusz KIA",KNDEUCAAXT7903089,2026,Kia,Seltos,S,"At Dealership",K26K045,2025-12-16,https://www.kia.fusz.com/inventory/new-2026-kia-seltos-s-awd-4dr-utility-vehicle-kndeucaaxt7903089/
"Lou Fusz KIA",5XYK5CDF3TG397423,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F084,2025-12-05,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-awd-4dr-sport-utility-5xyk5cdf3tg397423/
"Lou Fusz KIA",KNAG44J81T5427707,2026,Kia,K5,GT,"At Dealership",KD26L050,2025-12-18,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-fwd-4-door-sedan-knag44j81t5427707/
"Lou Fusz KIA",KNDNC5KA1T6140804,2026,Kia,"Carnival MPV Hybrid",EX,"At Dealership",K26Q058,2026-01-23,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-minivan-kndnc5ka1t6140804/
"Lou Fusz KIA",KNDRHDJG5T5465397,2026,Kia,"Sorento Hybrid",EX,"At Dealership",K26H012,2026-01-30,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg5t5465397/
"Lou Fusz KIA",KNDRHDJG5T5474603,2026,Kia,"Sorento Hybrid",EX,"At Dealership",K26H011,2026-01-30,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg5t5474603/
"Lou Fusz KIA",KNDNC5K35T6616635,2026,Kia,"Carnival MPV",EX,"At Dealership",K26M417,2026-02-06,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-ex-fwd-minivan-kndnc5k35t6616635/
"Lou Fusz KIA",KNDNC5KA9T6147547,2026,Kia,"Carnival MPV Hybrid",EX,"At Dealership",K26Q061,2026-02-23,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-minivan-kndnc5ka9t6147547/
"Lou Fusz KIA",5XYK33DF8TG412357,2026,Kia,Sportage,EX,"At Dealership",K26F103,2026-02-06,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-ex-fwd-4dr-sport-utility-5xyk33df8tg412357/
"Lou Fusz KIA",5XYK5CDF2TG415359,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F104,2026-02-09,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-awd-4dr-sport-utility-5xyk5cdf2tg415359/
"Lou Fusz KIA",5XYK7CDF3TG395410,2026,Kia,Sportage,"X-Pro Prestige","At Dealership",K26F111,2026-02-02,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-x-pro-prestige-awd-4dr-sport-utility-5xyk7cdf3tg395410/
"Lou Fusz KIA",3KPFW4DC0TE258079,2026,Kia,K4,"GT-Line Turbo","At Dealership",K26C019,2026-02-02,https://www.kia.fusz.com/inventory/new-2026-kia-k4-gt-line-turbo-fwd-4-door-sedan-3kpfw4dc0te258079/
