"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz KIA",KNDNE5K33T6553237,2026,Kia,"Carnival MPV","SX Prestige","At Dealership",K26M004,2025-07-01,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-sx-prestige-fwd-minivan-kndne5k33t6553237/
"Lou Fusz KIA",KNAG44J86T5421773,2026,Kia,K5,GT,"At Dealership",K26L026,2025-09-29,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-fwd-4-door-sedan-knag44j86t5421773/
"Lou Fusz KIA",5XYK53DF1TG367787,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F041,2025-09-02,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-fwd-4dr-sport-utility-5xyk53df1tg367787/
"Lou Fusz KIA",KNDERCAA6T7886907,2026,Kia,Seltos,EX,"At Dealership",K26K040,2025-10-22,https://www.kia.fusz.com/inventory/new-2026-kia-seltos-ex-awd-4dr-utility-vehicle-kndercaa6t7886907/
"Lou Fusz KIA",5XYRKDJFXTG425185,2026,Kia,Sorento,"X-Line SX Prestige AWD","At Dealership",K267027,2025-10-13,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-x-line-sx-prestige-awd-awd-4dr-sport-utility-5xyrkdjfxtg425185/
"Lou Fusz KIA",KNAG64J74T5435415,2026,Kia,K5,"GT-Line AWD","At Dealership",K26L036,2025-10-22,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-line-awd-awd-4-door-sedan-knag64j74t5435415/
"Lou Fusz KIA",KNAG64J7XT5438111,2026,Kia,K5,"GT-Line AWD","At Dealership",K26L042,2025-11-13,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-line-awd-awd-4-door-sedan-knag64j7xt5438111/
"Lou Fusz KIA",KNDNE5KA0T6131585,2026,Kia,"Carnival MPV Hybrid","SX Prestige","At Dealership",K26Q048,2025-12-16,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-sx-prestige-fwd-minivan-kndne5ka0t6131585/
"Lou Fusz KIA",5XYK5CDF3TG397423,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F084,2025-12-05,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-awd-4dr-sport-utility-5xyk5cdf3tg397423/
"Lou Fusz KIA",KNAG44J81T5427707,2026,Kia,K5,GT,"At Dealership",KD26L050,2025-12-18,https://www.kia.fusz.com/inventory/new-2026-kia-k5-gt-fwd-4-door-sedan-knag44j81t5427707/
"Lou Fusz KIA",KNDNC5KA1T6140804,2026,Kia,"Carnival MPV Hybrid",EX,"At Dealership",K26Q058,2026-01-23,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-minivan-kndnc5ka1t6140804/
"Lou Fusz KIA",KNDRHDJG5T5465397,2026,Kia,"Sorento Hybrid",EX,"At Dealership",K26H012,2026-01-30,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg5t5465397/
"Lou Fusz KIA",KNDNC5K35T6616635,2026,Kia,"Carnival MPV",EX,"At Dealership",K26M417,2026-02-06,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-ex-fwd-minivan-kndnc5k35t6616635/
"Lou Fusz KIA",KNDNC5KA9T6147547,2026,Kia,"Carnival MPV Hybrid",EX,"At Dealership",K26Q061,2026-02-23,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-minivan-kndnc5ka9t6147547/
"Lou Fusz KIA",5XYK33DF8TG412357,2026,Kia,Sportage,EX,"At Dealership",K26F103,2026-02-06,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-ex-fwd-4dr-sport-utility-5xyk33df8tg412357/
"Lou Fusz KIA",5XYK5CDF2TG415359,2026,Kia,Sportage,"SX Prestige","At Dealership",K26F104,2026-02-09,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-sx-prestige-awd-4dr-sport-utility-5xyk5cdf2tg415359/
"Lou Fusz KIA",3KPFW4DC0TE258079,2026,Kia,K4,"GT-Line Turbo","At Dealership",K26C019,2026-02-02,https://www.kia.fusz.com/inventory/new-2026-kia-k4-gt-line-turbo-fwd-4-door-sedan-3kpfw4dc0te258079/
"Lou Fusz KIA",5XYPB5S13VG020174,2027,Kia,Telluride,LX,"At Dealership",K27J020,2026-02-23,https://www.kia.fusz.com/inventory/new-2027-kia-telluride-lx-fwd-5dr-sport-utility-5xypb5s13vg020174/
"Lou Fusz KIA",KNDRHDJG0T5486058,2026,Kia,"Sorento Hybrid",EX,"At Dealership",K26H018,2026-03-23,https://www.kia.fusz.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg0t5486058/
"Lou Fusz KIA",KNDPUDDG5T7357333,2026,Kia,"Sportage Hybrid",S,"At Dealership",K26Y093,2026-04-07,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-hybrid-s-awd-4dr-sport-utility-kndpuddg5t7357333/
"Lou Fusz KIA",KNDPUDDG0T7360804,2026,Kia,"Sportage Hybrid",S,"At Dealership",K26Y094,2026-04-06,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-hybrid-s-awd-4dr-sport-utility-kndpuddg0t7360804/
"Lou Fusz KIA",KNDNE5K3XT6630346,2026,Kia,"Carnival MPV",SX,"At Dealership",K26M431,2026-03-26,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-sx-fwd-minivan-kndne5k3xt6630346/
"Lou Fusz KIA",KNAG24J70T5476880,2026,Kia,K5,"LXS FWD","At Dealership",K26L061,2026-04-03,https://www.kia.fusz.com/inventory/new-2026-kia-k5-lxs-fwd-fwd-4-door-sedan-knag24j70t5476880/
"Lou Fusz KIA",5XYK33DF3TG426635,2026,Kia,Sportage,EX,"At Dealership",K26F118,2026-03-16,https://www.kia.fusz.com/inventory/new-2026-kia-sportage-ex-fwd-4dr-sport-utility-5xyk33df3tg426635/
"Lou Fusz KIA",KNDNE5K34T6629774,2026,Kia,"Carnival MPV",SX,"At Dealership",K26M433,2026-04-10,https://www.kia.fusz.com/inventory/new-2026-kia-carnival-mpv-sx-fwd-minivan-kndne5k34t6629774/
