"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Buick GMC",1GD3ULEYXSF187521,2025,GMC,"Sierra 2500 HD",Pro,"At Dealership",BF330725,2024-11-20,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-sierra-2500-hd-pro-four-wheel-drive-regular-cab-1gd3uleyxsf187521/
"Lou Fusz Buick GMC",KL47LAEP6TB053080,2026,Buick,Envista,Preferred,"At Dealership",B408586L,2025-08-16,https://www.loufuszbuickgmc.com/inventory/new-2026-buick-envista-preferred-front-wheel-drive-suv-kl47laep6tb053080/
"Lou Fusz Buick GMC",KL47LAEP5TB049862,2026,Buick,Envista,Preferred,"At Dealership",B408588L,2025-08-19,https://www.loufuszbuickgmc.com/inventory/new-2026-buick-envista-preferred-front-wheel-drive-suv-kl47laep5tb049862/
"Lou Fusz Buick GMC",KL47LAEP0TB050997,2026,Buick,Envista,Preferred,"At Dealership",B408603L,2025-08-20,https://www.loufuszbuickgmc.com/inventory/new-2026-buick-envista-preferred-front-wheel-drive-suv-kl47laep0tb050997/
"Lou Fusz Buick GMC",1GT5USEY0TF107233,2026,GMC,"Sierra 3500 HD","Pro DRW","At Dealership",BF330794,2025-08-20,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-sierra-3500-hd-pro-drw-four-wheel-drive-double-cab-1gt5usey0tf107233/
"Lou Fusz Buick GMC",1GD3USEY2SF344842,2025,GMC,"Sierra 3500 HD Chassis Cab",Pro,"At Dealership",BF330783,2025-06-26,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-sierra-3500-hd-chassis-cab-pro-four-wheel-drive-regular-cab-1gd3usey2sf344842/
"Lou Fusz Buick GMC",1GD3USEY8SF342786,2025,GMC,"Sierra 3500 HD Chassis Cab",Pro,"At Dealership",BF330782,2025-06-24,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-sierra-3500-hd-chassis-cab-pro-four-wheel-drive-regular-cab-1gd3usey8sf342786/
"Lou Fusz Buick GMC",1GTP2DEK4T1129139,2026,GMC,Canyon,AT4,"At Dealership",BG340253,2025-08-26,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-at4-four-wheel-drive-crew-cab-1gtp2dek4t1129139/
"Lou Fusz Buick GMC",1GTP2DEK4T1129688,2026,GMC,Canyon,AT4,"At Dealership",BG340252,2025-08-27,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-at4-four-wheel-drive-crew-cab-1gtp2dek4t1129688/
"Lou Fusz Buick GMC",1GD07RF71S1140491,2025,GMC,"Savana Cutaway 3500",1WT,"In Transit",BF34320,2025-02-08,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-savana-cutaway-3500-1wt-rear-wheel-drive-regular-wheelbase-1gd07rf71s1140491/
"Lou Fusz Buick GMC",1GKENKKSXTJ155305,2026,GMC,Acadia,Elevation,"At Dealership",BG25424L,2025-09-06,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-acadia-elevation-front-wheel-drive-suv-1gkenkksxtj155305/
"Lou Fusz Buick GMC",1GTP2BEK5T1136847,2026,GMC,Canyon,Elevation,"At Dealership",BG340259,2025-09-11,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-elevation-four-wheel-drive-crew-cab-1gtp2bek5t1136847/
"Lou Fusz Buick GMC",1GTP2BEK9T1136849,2026,GMC,Canyon,Elevation,"At Dealership",BG340258,2025-09-11,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-elevation-four-wheel-drive-crew-cab-1gtp2bek9t1136849/
"Lou Fusz Buick GMC",1GTP2BEK7T1140026,2026,GMC,Canyon,Elevation,"At Dealership",BG340266,2025-09-18,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-elevation-four-wheel-drive-crew-cab-1gtp2bek7t1140026/
"Lou Fusz Buick GMC",1GTP2BEK6T1140034,2026,GMC,Canyon,Elevation,"At Dealership",BG340268,2025-09-18,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-elevation-four-wheel-drive-crew-cab-1gtp2bek6t1140034/
"Lou Fusz Buick GMC",1GTP2DEK9T1141951,2026,GMC,Canyon,AT4,"At Dealership",BG340271,2025-09-23,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-at4-four-wheel-drive-crew-cab-1gtp2dek9t1141951/
"Lou Fusz Buick GMC",1GKTENDE9TU602463,2026,GMC,"HUMMER EV SUV",2X,"At Dealership",BG410029,2025-09-23,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-hummer-ev-suv-2x-four-wheel-drive-suv-1gktende9tu602463/
"Lou Fusz Buick GMC",1GTP2BEKXT1140649,2026,GMC,Canyon,Elevation,"At Dealership",BG340283,2025-09-25,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-canyon-elevation-four-wheel-drive-crew-cab-1gtp2bekxt1140649/
"Lou Fusz Buick GMC",1GTW7BF75S1188341,2025,GMC,"Savana Cargo","Work Van","At Dealership",BF34333,2025-04-08,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-savana-cargo-work-van-rear-wheel-drive-2500-extended-wheelbase-1gtw7bf75s1188341/
"Lou Fusz Buick GMC",1GTW7BF79S1188343,2025,GMC,"Savana Cargo","Work Van","At Dealership",BF34332,2025-04-08,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-savana-cargo-work-van-rear-wheel-drive-2500-extended-wheelbase-1gtw7bf79s1188343/
"Lou Fusz Buick GMC",3GTUUGE8XTG177510,2026,GMC,"Sierra 1500",Denali,"At Dealership",,2025-10-18,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-sierra-1500-denali-four-wheel-drive-crew-cab-3gtuuge8xtg177510/
"Lou Fusz Buick GMC",1GD3USEYXTF122731,2026,GMC,"Sierra 3500 HD Chassis Cab",Pro,"At Dealership",BF330858,2025-09-11,https://www.loufuszbuickgmc.com/inventory/new-2026-gmc-sierra-3500-hd-chassis-cab-pro-four-wheel-drive-regular-cab-1gd3useyxtf122731/
"Lou Fusz Buick GMC",KL47LAEP3TB103899,2026,Buick,Envista,Preferred,"At Dealership",B408709L,2025-12-23,https://www.loufuszbuickgmc.com/inventory/new-2026-buick-envista-preferred-front-wheel-drive-suv-kl47laep3tb103899/
"Lou Fusz Buick GMC",7GZ37RC73SN019429,2025,GMC,"Savana Cutaway 3500",1WT,"At Dealership",BF34342,2025-09-03,https://www.loufuszbuickgmc.com/inventory/new-2025-gmc-savana-cutaway-3500-1wt-rear-wheel-drive-regular-wheelbase-7gz37rc73sn019429/
